alpha,block_size,key_range,read_prob,success_rate
1.03,16,100,0.5,0.9563492063492064
1.03,16,100,0.5,0.9513888888888888
1.03,16,100,0.5,0.9404761904761905
1.03,16,100,0.5,0.9484126984126984
1.03,16,100,0.5,0.9494047619047619
1.03,16,100,0.5,0.9583333333333334
1.03,16,100,0.5,0.9503968253968254
1.03,16,100,0.5,0.9613095238095238
1.03,16,100,0.5,0.941468253968254
1.03,16,100,0.5,0.9315476190476191
1.03,16,100,0.5,0.9632936507936508
1.03,16,100,0.5,0.9672619047619048
1.03,16,100,0.5,0.9613095238095238
1.03,16,100,0.5,0.9404761904761905
1.03,16,100,0.5,0.9494047619047619
1.03,16,100,0.5,0.9771825396825397
1.03,16,100,0.5,0.9543650793650794
1.03,16,100,0.5,0.9474206349206349
1.03,16,100,0.5,0.9494047619047619
1.03,16,100,0.5,0.939484126984127
1.03,16,100,0.5,0.9523809523809523
1.03,16,100,0.5,0.9593253968253969
1.03,16,100,0.5,0.9652777777777778
1.03,16,100,0.5,0.9672619047619048
1.03,16,100,0.5,0.9513888888888888
1.03,16,100,0.5,0.9484126984126984
1.03,16,100,0.5,0.9583333333333334
1.03,16,100,0.5,0.9543650793650794
1.03,16,100,0.5,0.9474206349206349
1.03,16,100,0.5,0.9484126984126984
1.03,16,100,0.5,0.9464285714285714
1.03,16,100,0.5,0.9533730158730159
1.03,16,100,0.5,0.9533730158730159
1.03,16,100,0.5,0.941468253968254
1.03,16,100,0.5,0.9375
1.03,16,100,0.5,0.9375
1.03,16,100,0.5,0.9454365079365079
1.03,32,100,0.5,0.9228515625
1.03,32,100,0.5,0.892578125
1.03,32,100,0.5,0.90625
1.03,32,100,0.5,0.921875
1.03,32,100,0.5,0.923828125
1.03,32,100,0.5,0.9111328125
1.03,32,100,0.5,0.9111328125
1.03,32,100,0.5,0.89453125
1.03,32,100,0.5,0.908203125
1.03,32,100,0.5,0.927734375
1.03,32,100,0.5,0.91796875
1.03,32,100,0.5,0.91796875
1.03,32,100,0.5,0.9169921875
1.03,32,100,0.5,0.900390625
1.03,32,100,0.5,0.9052734375
1.03,32,100,0.5,0.9130859375
1.03,32,100,0.5,0.9072265625
1.03,32,100,0.5,0.900390625
1.03,32,100,0.5,0.927734375
1.03,32,100,0.5,0.9248046875
1.03,32,100,0.5,0.90625
1.03,32,100,0.5,0.923828125
1.03,32,100,0.5,0.9140625
1.03,32,100,0.5,0.9150390625
1.03,32,100,0.5,0.8984375
1.03,32,100,0.5,0.9501953125
1.03,32,100,0.5,0.91015625
1.03,32,100,0.5,0.931640625
1.03,32,100,0.5,0.91015625
1.03,32,100,0.5,0.9248046875
1.03,32,100,0.5,0.9326171875
1.03,32,100,0.5,0.923828125
1.03,32,100,0.5,0.912109375
1.03,32,100,0.5,0.9228515625
1.03,32,100,0.5,0.9150390625
1.03,32,100,0.5,0.9287109375
1.03,32,100,0.5,0.9072265625
1.03,32,100,0.5,0.9033203125
1.03,32,100,0.5,0.9140625
1.03,32,100,0.5,0.9404296875
1.03,32,100,0.5,0.90625
1.03,32,100,0.5,0.8876953125
1.03,32,100,0.5,0.9228515625
1.03,32,100,0.5,0.9189453125
1.03,32,100,0.5,0.9208984375
1.03,32,100,0.5,0.890625
1.03,32,100,0.5,0.908203125
1.03,32,100,0.5,0.921875
1.03,32,100,0.5,0.90234375
1.03,32,100,0.5,0.9091796875
1.03,64,100,0.5,0.8720703125
1.03,64,100,0.5,0.8583984375
1.03,64,100,0.5,0.876953125
1.03,64,100,0.5,0.8994140625
1.03,64,100,0.5,0.8955078125
1.03,64,100,0.5,0.90234375
1.03,64,100,0.5,0.876953125
1.03,64,100,0.5,0.8779296875
1.03,64,100,0.5,0.88671875
1.03,64,100,0.5,0.861328125
1.03,64,100,0.5,0.8828125
1.03,64,100,0.5,0.90625
1.03,64,100,0.5,0.8720703125
1.03,64,100,0.5,0.9189453125
1.03,64,100,0.5,0.890625
1.03,64,100,0.5,0.8623046875
1.03,64,100,0.5,0.8828125
1.03,64,100,0.5,0.865234375
1.03,64,100,0.5,0.87890625
1.03,64,100,0.5,0.88671875
1.03,64,100,0.5,0.916015625
